A,AISC_name,Cw,Dlt,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Sx,Sy,T_F,Type,W,WGi,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,kdes,kdet,ro,rx,ry,tf,tfdet,tw,twdet,twdet_2,y,yp
7.21,WT5X24.5,1.33,14.7,WT5X24.5,0.966,10,46.7,0.693,19.5,29.5,20,30,2.39,9.34,F,WT,24.5,5.5,4.52,14.1,10,10,8.93,4.99,5,1.06,1.25,2.85,1.18,2.54,0.56,0.56,0.34,0.31,0.19,0.807,0.361
6.63,WT5X22.5,0.981,14.4,WT5X22.5,0.94,10.2,26.7,0.753,17.6,25.6,18.1,26.1,2.47,6.65,F,WT,22.5,5.5,4.65,10.1,8.02,8,6.47,5.05,5,1.12,1.31,2.43,1.24,2.01,0.62,0.63,0.35,0.38,0.19,0.907,0.413
5.73,WT5X19.5,0.616,15.7,WT5X19.5,0.936,8.84,22.5,0.487,17.4,25.4,17.9,25.9,2.16,5.64,F,WT,19.5,5.5,3.99,8.57,7.99,8,7.53,4.96,5,1.03,1.19,2.42,1.24,1.98,0.53,0.5,0.315,0.31,0.19,0.876,0.359
4.85,WT5X16.5,0.356,16.8,WT5X16.5,0.927,7.71,18.3,0.291,17.2,25.1,17.7,25.7,1.93,4.6,F,WT,16.5,5.5,3.48,7,7.96,8,9.15,4.87,4.88,0.935,1.13,2.4,1.26,1.94,0.435,0.44,0.29,0.31,0.19,0.869,0.305
4.42,WT5X15,0.273,17.5,WT5X15,0.849,9.28,8.35,0.31,15.9,21.7,16.3,22.1,2.24,2.87,F,WT,15,2.75,4.01,4.41,5.81,5.75,5.7,5.24,5.25,0.81,1.13,2.17,1.45,1.37,0.51,0.5,0.3,0.31,0.19,1.1,0.38
3.81,WT5X13,0.173,19.9,WT5X13,0.848,7.86,7.05,0.201,15.7,21.5,16.1,21.9,1.91,2.44,F,WT,13,2.75,3.39,3.75,5.77,5.75,6.56,5.17,5.13,0.74,1.06,2.15,1.44,1.36,0.44,0.44,0.26,0.25,0.13,1.06,0.33
3.24,WT5X11,0.107,21.2,WT5X11,0.83,6.88,5.71,0.119,15.5,21.3,15.9,21.7,1.72,1.99,F,WT,11,2.75,3.02,3.05,5.75,5.75,7.99,5.09,5.13,0.66,0.94,2.16,1.46,1.33,0.36,0.38,0.24,0.25,0.13,1.07,0.282
2.81,WT5X9.5,0.0796,20.5,WT5X9.5,0.729,6.68,2.15,0.116,13.9,17.9,14.3,18.3,1.74,1.07,F,WT,9.5,2.25,3.1,1.67,4.02,4,5.09,5.12,5.13,0.695,0.94,2.08,1.54,0.874,0.395,0.38,0.25,0.25,0.13,1.28,0.349
2.5,WT5X8.5,0.061,21.1,WT5X8.5,0.703,6.06,1.78,0.0776,13.8,17.8,14.1,18.1,1.62,0.887,F,WT,8.5,2.25,2.9,1.4,4.01,4,6.08,5.06,5,0.63,0.88,2.11,1.56,0.844,0.33,0.31,0.24,0.25,0.13,1.32,0.311
2.21,WT5X7.5,0.0475,21.7,WT5X7.5,0.672,5.45,1.45,0.0518,13.6,17.6,14,18,1.5,0.723,F,WT,7.5,2.25,2.71,1.15,4,4,7.41,5,5,0.57,0.81,2.16,1.57,0.81,0.27,0.25,0.23,0.25,0.13,1.37,0.305
1.77,WT5X6,0.0255,26,WT5X6,0.661,4.35,1.09,0.0272,13.5,17.4,13.8,17.8,1.22,0.551,F,WT,6,2.25,2.2,0.869,3.96,4,9.43,4.94,4.88,0.51,0.75,2.16,1.57,0.785,0.21,0.19,0.19,0.19,0.13,1.36,0.322
9.84,WT4X33.5,3.56,7.89,WT4X33.5,0.962,10.9,44.3,2.51,16.8,25,17.3,25.6,3.05,10.7,F,WT,33.5,5.5,6.29,16.3,8.28,8.25,4.43,4.5,4.5,1.33,1.63,2.41,1.05,2.12,0.935,0.94,0.57,0.56,0.31,0.936,0.594
8.54,WT4X29,2.28,8.59,WT4X29,0.961,9.12,37.5,1.66,16.5,24.7,17,25.2,2.61,9.13,F,WT,29,5.5,5.25,13.9,8.22,8.25,5.07,4.38,4.38,1.2,1.5,2.38,1.03,2.1,0.81,0.81,0.51,0.5,0.25,0.874,0.52
7.05,WT4X24,1.3,10.6,WT4X24,0.966,6.85,30.5,0.977,16.1,24.2,16.6,24.7,1.97,7.51,F,WT,24,5.5,3.94,11.4,8.11,8.13,5.92,4.25,4.25,1.08,1.38,2.34,0.986,2.08,0.685,0.69,0.4,0.38,0.19,0.777,0.435
5.87,WT4X20,0.715,11.5,WT4X20,0.961,5.73,24.5,0.558,15.8,23.9,16.3,24.4,1.69,6.08,F,WT,20,5.5,3.25,9.24,8.07,8.13,7.21,4.13,4.13,0.954,1.25,2.32,0.988,2.04,0.56,0.56,0.36,0.38,0.19,0.735,0.364
5.14,WT4X17.5,0.48,13.1,WT4X17.5,0.963,4.82,21.3,0.384,15.6,23.6,16.1,24.2,1.43,5.31,F,WT,17.5,5.5,2.71,8.05,8.02,8,8.1,4.06,4,0.889,1.19,2.3,0.968,2.03,0.495,0.5,0.31,0.31,0.19,0.688,0.321
4.56,WT4X15.5,0.327,14,WT4X15.5,0.961,4.28,18.5,0.267,15.5,23.5,16,24,1.28,4.64,F,WT,15.5,5.5,2.39,7.03,8,8,9.19,4,4,0.829,1.13,2.28,0.969,2.02,0.435,0.44,0.285,0.31,0.19,0.668,0.285
4.12,WT4X14,0.23,14.1,WT4X14,0.935,4.23,10.8,0.268,14.2,20.8,14.6,21.1,1.28,3.31,F,WT,14,4,2.38,5.04,6.54,6.5,7.03,4.03,4,0.859,0.94,1.98,1.01,1.62,0.465,0.44,0.285,0.31,0.19,0.734,0.315
3.54,WT4X12,0.144,16.2,WT4X12,0.936,3.53,9.14,0.173,14.1,20.6,14.4,20.9,1.08,2.81,F,WT,12,4,1.98,4.28,6.5,6.5,8.12,3.97,4,0.794,0.88,1.96,0.999,1.61,0.4,0.38,0.245,0.25,0.13,0.695,0.272
3.08,WT4X10.5,0.0916,16.6,WT4X10.5,0.877,3.9,4.88,0.141,13.2,18.5,13.6,18.8,1.18,1.85,F,WT,10.5,2.75,2.11,2.84,5.27,5.25,6.59,4.14,4.13,0.7,0.88,1.8,1.12,1.26,0.4,0.38,0.25,0.25,0.13,0.831,0.292
2.63,WT4X9,0.0562,17.7,WT4X9,0.863,3.41,3.98,0.0855,13.1,18.3,13.4,18.6,1.05,1.52,F,WT,9,2.75,1.86,2.33,5.25,5.25,7.95,4.07,4.13,0.63,0.81,1.8,1.14,1.23,0.33,0.31,0.23,0.25,0.13,0.834,0.251
2.22,WT4X7.5,0.0382,16.6,WT4X7.5,0.76,3.28,1.7,0.0679,11.8,15.8,12.1,16.2,1.07,0.849,F,WT,7.5,2.25,1.91,1.33,4.02,4,6.37,4.06,4,0.615,0.81,1.72,1.22,0.876,0.315,0.31,0.245,0.25,0.13,0.998,0.276
1.92,WT4X6.5,0.0269,17.4,WT4X6.5,0.733,2.89,1.36,0.0433,11.7,15.7,12,16,0.974,0.682,F,WT,6.5,2.25,1.74,1.07,4,4,7.84,4,4,0.555,0.75,1.74,1.23,0.843,0.255,0.25,0.23,0.25,0.13,1.03,0.24
1.48,WT4X5,0.0114,23.2,WT4X5,0.749,2.15,1.05,0.0212,11.5,15.4,11.8,15.8,0.717,0.531,F,WT,5,2.25,1.27,0.826,3.94,4,9.61,3.95,4,0.505,0.69,1.7,1.2,0.84,0.205,0.19,0.17,0.19,0.13,0.953,0.188
