A,AISC_name,Cw,Dlt,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Sx,Sy,T_F,Type,W,WGi,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,kdes,kdet,ro,rx,ry,tf,tfdet,tw,twdet,twdet_2,y,yp
15,WT13.5X51,12.6,26.2,WT13.5X51,0.713,258,69.6,2.63,36,46,37,47,25.3,13.9,F,WT,51,5.5,45,21.7,10,10,6.03,13.5,13.5,1.43,2.06,5.53,4.14,2.15,0.83,0.81,0.515,0.5,0.25,3.37,0.75
13.8,WT13.5X47,10.2,27.6,WT13.5X47,0.702,239,62,2.01,36,46,37,47,23.8,12.4,F,WT,47,5.5,42.4,19.4,10,10,6.7,13.5,13.5,1.34,1.94,5.57,4.16,2.12,0.745,0.75,0.49,0.5,0.25,3.41,0.692
12.4,WT13.5X42,7.79,29.1,WT13.5X42,0.685,216,52.8,1.4,35.8,45.8,36.8,46.8,21.9,10.6,F,WT,42,5.5,39.2,16.6,10,10,7.78,13.4,13.38,1.24,1.88,5.63,4.18,2.07,0.64,0.63,0.46,0.44,0.25,3.48,0.621
49.1,WT12X167.5,405,10,WT12X167.5,0.837,686,513,75.6,40.1,53.6,41.1,54.6,66.3,75.9,T,WT,167.5,5.5,123,119,13.5,13.5,2.73,13.8,13.75,2.98,3.75,5.4,3.73,3.23,2.48,2.5,1.38,1.38,0.69,3.42,1.82
54.5,WT12X185,553,9.2,WT12X185,0.837,779,581,100,40.7,54.4,41.7,55.4,74.7,85.1,T,WT,185,5.5,140,133,13.7,13.63,2.51,14,14,3.22,4,5.47,3.78,3.27,2.72,2.75,1.52,1.5,0.75,3.57,1.99
41,WT12X139.5,230,11.6,WT12X139.5,0.837,546,412,45.1,39.1,52.4,40.1,53.4,53.6,61.9,T,WT,139.5,5.5,98.8,96.3,13.3,13.25,3.18,13.4,13.38,2.59,3.38,5.28,3.65,3.17,2.09,2.06,1.16,1.19,0.63,3.18,1.54
44.9,WT12X153,305,10.8,WT12X153,0.837,611,460,58.4,39.6,53,40.6,54,59.4,68.6,T,WT,153,5.5,110,107,13.4,13.38,2.94,13.6,13.63,2.78,3.56,5.34,3.69,3.2,2.28,2.25,1.26,1.25,0.63,3.29,1.67
36.8,WT12X125,165,12.7,WT12X125,0.838,478,362,33.2,38.6,51.8,39.6,52.8,47.2,54.9,F,WT,125,5.5,86.5,85.2,13.2,13.13,3.49,13.2,13.13,2.39,3.13,5.22,3.61,3.14,1.89,1.88,1.04,1.06,0.56,3.05,1.39
33.6,WT12X114.5,125,13.5,WT12X114.5,0.836,431,326,25.5,38.1,51.2,39.1,52.2,42.9,49.7,F,WT,114.5,5.5,78.1,77,13.1,13.13,3.79,13,13,2.23,3,5.19,3.58,3.11,1.73,1.75,0.96,0.94,0.5,2.96,1.28
30.3,WT12X103.5,91.3,14.8,WT12X103.5,0.836,382,289,19.1,37.8,50.8,38.8,51.8,38.3,44.4,F,WT,103.5,5.5,69.3,68.6,13,13,4.14,12.9,12.88,2.07,2.88,5.14,3.55,3.08,1.57,1.56,0.87,0.88,0.44,2.87,1.17
28.2,WT12X96,72.5,15.7,WT12X96,0.836,350,265,15.3,37.4,50.4,38.4,51.4,35.2,40.9,F,WT,96,5.5,63.5,63.1,13,13,4.43,12.7,12.75,1.96,2.75,5.11,3.53,3.07,1.46,1.44,0.81,0.81,0.44,2.8,1.09
25.8,WT12X88,55.8,16.8,WT12X88,0.835,319,240,11.9,37.1,50,38.1,51,32.2,37.2,F,WT,88,5.5,57.8,57.3,12.9,12.88,4.81,12.6,12.63,1.84,2.63,5.09,3.51,3.04,1.34,1.31,0.75,0.75,0.38,2.74,1
23.9,WT12X81,43.8,17.7,WT12X81,0.832,293,221,9.22,37,50,38,51,29.9,34.2,F,WT,81,5.5,53.3,52.6,13,13,5.31,12.5,12.5,1.72,2.5,5.09,3.5,3.05,1.22,1.25,0.705,0.69,0.38,2.7,0.921
21.5,WT12X73,31.9,19.1,WT12X73,0.827,264,195,6.7,36.7,49.6,37.7,50.6,27.2,30.3,F,WT,73,5.5,48.2,46.6,12.9,12.88,5.92,12.4,12.38,1.59,2.38,5.08,3.5,3.01,1.09,1.06,0.65,0.63,0.31,2.66,0.833
19.3,WT12X65.5,23.1,20.2,WT12X65.5,0.818,238,170,4.74,36.3,49.2,37.3,50.2,24.8,26.5,F,WT,65.5,5.5,43.9,40.7,12.9,12.88,6.7,12.2,12.25,1.46,2.25,5.09,3.52,2.97,0.96,0.94,0.605,0.63,0.31,2.65,0.75
17.2,WT12X58.5,16.4,22,WT12X58.5,0.814,212,149,3.35,36,48.8,37,49.8,22.3,23.2,F,WT,58.5,5.5,39.2,35.7,12.8,12.75,7.53,12.1,12.13,1.35,2.13,5.08,3.51,2.94,0.85,0.88,0.55,0.56,0.31,2.62,0.672
15.1,WT12X51.5,12.3,22.4,WT12X51.5,0.733,204,59.7,3.53,32.6,41.6,33.6,42.6,22,13.3,F,WT,51.5,5.5,39.2,20.7,9,9,4.59,12.3,12.25,1.48,2.25,4.88,3.67,1.99,0.98,1,0.55,0.56,0.31,3.01,0.841
15.3,WT12X52,11.6,24,WT12X52,0.809,189,130,2.35,35.8,48.6,36.8,49.6,20,20.3,F,WT,52,5.5,35.1,31.2,12.8,12.75,8.5,12,12,1.25,2.06,5.07,3.51,2.91,0.75,0.75,0.5,0.5,0.25,2.59,0.6
13.8,WT12X47,9.57,23.7,WT12X47,0.727,186,54.5,2.62,32.5,41.5,33.5,42.5,20.3,12,F,WT,47,5.5,36.1,18.7,9.07,9.13,5.18,12.2,12.13,1.38,2.13,4.89,3.67,1.98,0.875,0.88,0.515,0.5,0.25,2.99,0.764
11.2,WT12X38,5.3,27.3,WT12X38,0.709,151,41.3,1.34,32,41,33,42,16.9,9.18,F,WT,38,5.5,30.1,14.3,8.99,9,6.61,12,12,1.18,1.94,4.93,3.68,1.92,0.68,0.69,0.44,0.44,0.25,3,0.622
10,WT12X34,4.08,28.7,WT12X34,0.691,137,35.2,0.932,31.8,40.7,32.8,41.7,15.6,7.85,F,WT,34,5.5,27.9,12.3,8.97,9,7.66,11.9,11.88,1.09,1.88,4.99,3.7,1.87,0.585,0.56,0.415,0.44,0.25,3.06,0.56
12.4,WT12X42,6.9,25.7,WT12X42,0.72,166,47.2,1.84,32.2,41.2,33.2,42.2,18.3,10.5,F,WT,42,5.5,32.5,16.3,9.02,9,5.86,12.1,12,1.27,2.06,4.9,3.67,1.95,0.77,0.75,0.47,0.5,0.25,2.97,0.685
9.11,WT12X31,3.92,27.7,WT12X31,0.619,131,17.2,0.85,30.2,37.2,30.8,37.9,15.6,4.9,F,WT,31,3.5,28.4,7.85,7.04,7,5.97,11.9,11.88,1.09,1.5,5.13,3.79,1.38,0.59,0.56,0.43,0.44,0.25,3.46,1.28
40.9,WT10.5X137.5,224,9.92,WT10.5X137.5,0.859,420,394,53.5,36.1,49,37.1,50,45.7,61.1,T,WT,137.5,5.5,86.3,95.1,12.9,12.88,2.95,12.1,12.13,3.37,3.44,4.81,3.2,3.1,2.19,2.19,1.22,1.25,0.63,2.9,1.59
37,WT10.5X124,163,10.8,WT10.5X124,0.86,368,349,40.2,35.6,48.4,36.6,49.4,40.3,54.5,F,WT,124,5.5,75.7,84.8,12.8,12.75,3.22,11.9,11.88,3.17,3.25,4.75,3.15,3.07,1.99,2,1.1,1.13,0.56,2.77,1.45
8.1,WT12X27.5,2.93,29.9,WT12X27.5,0.606,117,14.5,0.588,29.9,36.9,30.6,37.6,14.1,4.15,F,WT,27.5,3.5,25.6,6.65,7.01,7,6.94,11.8,11.75,1.01,1.44,5.17,3.8,1.34,0.505,0.5,0.395,0.38,0.19,3.5,1.53
33.2,WT10.5X111.5,117,11.7,WT10.5X111.5,0.859,324,307,29.6,35.1,47.8,36.1,48.8,35.9,48.3,F,WT,111.5,5.5,66.7,74.9,12.7,12.75,3.55,11.7,11.75,2.97,3.06,4.7,3.12,3.04,1.79,1.81,1,1,0.5,2.66,1.31
29.6,WT10.5X100.5,85.4,12.6,WT10.5X100.5,0.859,285,271,20.4,34.6,47.2,35.6,48.2,31.9,43.1,F,WT,100.5,5.5,58.6,66.5,12.6,12.63,3.86,11.5,11.5,2.13,2.88,4.67,3.1,3.02,1.63,1.63,0.91,0.94,0.5,2.57,1.18
19.4,WT10.5X66,23.4,16.8,WT10.5X66,0.845,181,166,5.62,33.2,45.6,34.2,46.6,21.1,26.7,F,WT,66,5.5,37.6,41.1,12.4,12.5,6.01,10.9,10.88,1.54,2.25,4.6,3.06,2.93,1.04,1.06,0.65,0.63,0.31,2.33,0.78
26.8,WT10.5X91,63,13.7,WT10.5X91,0.859,253,241,15.3,34.3,46.8,35.3,47.8,28.5,38.6,F,WT,91,5.5,52.1,59.5,12.5,12.5,4.22,11.4,11.38,1.98,2.75,4.64,3.07,3,1.48,1.5,0.83,0.81,0.44,2.48,1.07
7.07,WT10.5X24,1.52,29.4,WT10.5X24,0.676,74.9,19.4,0.4,28.2,36.4,28.7,36.9,9.9,4.76,F,WT,24,5.5,17.8,7.44,8.14,8.13,9.47,10.3,10.25,0.93,1.13,4.44,3.26,1.66,0.43,0.44,0.35,0.38,0.19,2.74,0.459
16.3,WT10.5X55.5,13.8,19.6,WT10.5X55.5,0.845,150,137,3.4,32.9,45.2,33.9,46.2,17.5,22.2,F,WT,55.5,5.5,31,34.1,12.3,12.38,7.05,10.8,10.75,1.38,2.13,4.56,3.03,2.9,0.875,0.88,0.55,0.56,0.31,2.23,0.662
8.37,WT10.5X28.5,2.5,25.9,WT10.5X28.5,0.665,90.4,15.3,0.884,27,33.6,27.6,34.1,11.8,4.67,F,WT,28.5,3.5,21.2,7.4,6.56,6.5,5.04,10.5,10.5,1.15,1.31,4.36,3.29,1.35,0.65,0.63,0.405,0.38,0.19,2.85,0.638
7.36,WT10.5X25,1.89,27.4,WT10.5X25,0.64,80.3,12.5,0.57,26.8,33.3,27.3,33.9,10.7,3.82,F,WT,25,3.5,19.4,6.08,6.53,6.5,6.1,10.4,10.38,1.04,1.25,4.44,3.3,1.3,0.535,0.56,0.38,0.38,0.19,2.93,0.771
14.9,WT10.5X50.5,10.4,21.4,WT10.5X50.5,0.846,135,124,2.6,32.7,45,33.7,46,15.8,20.2,F,WT,50.5,5.5,27.9,30.8,12.3,12.25,7.68,10.7,10.63,1.3,2.06,4.53,3.01,2.89,0.8,0.81,0.5,0.5,0.25,2.18,0.605
41.7,WT9X141.5,251,7.79,WT9X141.5,0.873,337,352,66.5,33,44.9,33.7,45.6,41.5,59.2,F,WT,141.5,5.5,80.2,92.5,11.9,11.88,2.38,10.9,10.88,3,3.38,4.36,2.85,2.91,2.5,2.5,1.4,1.38,0.69,2.8,1.75
45.8,WT9X155.5,339,7.37,WT9X155.5,0.875,383,398,87.2,33.7,45.7,34.4,46.4,46.6,66.2,F,WT,155.5,5.5,90.6,104,12,12,2.19,11.2,11.13,3.24,3.56,4.41,2.89,2.95,2.74,2.75,1.52,1.5,0.75,2.93,1.91
6.49,WT10.5X22,1.4,29.4,WT10.5X22,0.623,71.1,10.3,0.383,26.6,33.1,27.1,33.6,9.68,3.18,F,WT,22,3.5,17.6,5.07,6.5,6.5,7.22,10.3,10.38,0.95,1.13,4.49,3.31,1.26,0.45,0.44,0.35,0.38,0.19,2.98,1.06
31.2,WT9X105.5,102,9.72,WT9X105.5,0.874,229,246,29.1,31.5,43.1,32.2,43.8,29.1,42.7,F,WT,105.5,5.5,55,66.1,11.6,11.5,3.02,10.3,10.38,2.31,2.81,4.19,2.72,2.82,1.91,1.94,1.06,1.06,0.56,2.44,1.34
38,WT9X129,189,8.36,WT9X129,0.874,298,314,51.1,32.5,44.3,33.2,45,37,53.4,F,WT,129,5.5,71,83.1,11.8,11.75,2.56,10.7,10.75,2.7,3.19,4.3,2.8,2.88,2.3,2.31,1.28,1.25,0.63,2.68,1.61
13.7,WT10.5X46.5,9.33,18.6,WT10.5X46.5,0.73,144,46.4,3.01,29.5,37.9,30,38.4,17.9,11,F,WT,46.5,5.5,31.8,17.3,8.42,8.38,4.53,10.8,10.75,1.43,1.63,4.37,3.25,1.84,0.93,0.94,0.58,0.56,0.31,2.74,0.812
34.3,WT9X117,140,9.05,WT9X117,0.875,261,279,39.1,32,43.7,32.7,44.4,32.7,47.9,F,WT,117,5.5,62.4,74.4,11.7,11.63,2.76,10.5,10.5,2.51,3,4.23,2.75,2.85,2.11,2.13,1.16,1.19,0.63,2.55,1.48
17.9,WT10.5X61,18.4,18,WT10.5X61,0.846,166,152,4.47,33,45.4,34,46.4,19.3,24.6,F,WT,61,5.5,34.3,37.8,12.4,12.38,6.45,10.8,10.88,1.46,2.25,4.58,3.04,2.91,0.96,0.94,0.6,0.63,0.31,2.28,0.724
28.1,WT9X96,75.7,10.6,WT9X96,0.875,202,220,22.3,31.2,42.7,31.9,43.4,25.8,38.4,F,WT,96,5.5,48.5,59.4,11.5,11.5,3.27,10.2,10.13,2.15,2.63,4.13,2.68,2.79,1.75,1.75,0.96,0.94,0.5,2.34,1.23
25.7,WT9X87.5,56.5,11.2,WT9X87.5,0.872,181,196,16.8,30.7,42.1,31.4,42.8,23.4,34.4,F,WT,87.5,5.5,43.6,53.1,11.4,11.38,3.58,10,10,1.99,2.44,4.1,2.66,2.76,1.59,1.56,0.89,0.88,0.44,2.26,1.13
10,WT10.5X34,3.62,24.7,WT10.5X34,0.728,103,32.4,1.22,29,37.2,29.5,37.7,12.9,7.83,F,WT,34,5.5,22.9,12.2,8.27,8.25,6.04,10.6,10.63,1.19,1.38,4.3,3.2,1.8,0.685,0.69,0.43,0.44,0.25,2.59,0.606
21.6,WT10.5X73.5,32.5,15.3,WT10.5X73.5,0.846,204,188,7.69,33.5,46,34.5,47,23.7,30,F,WT,73.5,5.5,42.4,46.3,12.5,12.5,5.44,11,11,1.65,2.44,4.63,3.08,2.95,1.15,1.13,0.72,0.75,0.38,2.39,0.864
8.1,WT10.5X27.5,2.08,27.7,WT10.5X27.5,0.703,84.4,24.2,0.617,28.5,36.7,29,37.2,10.9,5.89,F,WT,27.5,5.5,19.4,9.18,8.22,8.25,7.87,10.4,10.38,1.02,1.19,4.37,3.23,1.73,0.522,0.5,0.375,0.38,0.19,2.64,0.493
12.2,WT10.5X41.5,6.5,20.8,WT10.5X41.5,0.732,127,40.7,2.16,29.2,37.6,29.8,38.1,15.7,9.74,F,WT,41.5,5.5,28,15.2,8.36,8.38,5,10.7,10.75,1.34,1.5,4.33,3.22,1.83,0.835,0.81,0.515,0.5,0.25,2.66,0.728
21,WT9X71.5,30.7,13.4,WT9X71.5,0.874,142,156,9.58,30,41.2,30.7,41.9,18.5,27.7,F,WT,71.5,5.5,34,42.7,11.2,11.25,4.25,9.75,9.75,1.72,2.19,4.02,2.6,2.72,1.32,1.31,0.73,0.75,0.38,2.09,0.937
9.13,WT10.5X31,2.78,26.3,WT10.5X31,0.721,93.8,28.7,0.913,28.7,37,29.2,37.5,11.9,6.97,F,WT,31,5.5,21.1,10.9,8.24,8.25,6.7,10.5,10.5,1.12,1.31,4.31,3.21,1.77,0.615,0.63,0.4,0.38,0.19,2.58,0.554
10.7,WT10.5X36.5,4.42,23.3,WT10.5X36.5,0.732,110,35.3,1.51,29,37.3,29.5,37.8,13.8,8.51,F,WT,36.5,5.5,24.4,13.3,8.3,8.25,5.6,10.6,10.63,1.24,1.44,4.3,3.21,1.81,0.74,0.75,0.455,0.44,0.25,2.6,0.647
23.2,WT9X79,41.2,12.2,WT9X79,0.872,160,174,12.5,30.3,41.6,31,42.3,20.8,30.7,F,WT,79,5.5,38.5,47.4,11.3,11.25,3.92,9.86,9.88,1.84,2.38,4.06,2.63,2.74,1.44,1.44,0.81,0.81,0.44,2.17,1.02
15.6,WT9X53,12.1,15.9,WT9X53,0.86,104,110,3.73,29.3,40.5,29.9,41.1,14.1,19.7,F,WT,53,5.5,25.2,30.2,11.2,11.25,5.96,9.37,9.38,1.34,1.81,4,2.59,2.66,0.94,0.94,0.59,0.56,0.31,1.97,0.695
24.4,WT10.5X83,47.3,14.9,WT10.5X83,0.861,226,217,11.8,33.8,46.2,34.8,47.2,25.5,35,F,WT,83,5.5,46.3,53.9,12.4,12.38,4.57,11.2,11.25,1.86,2.63,4.59,3.04,2.99,1.36,1.38,0.75,0.75,0.38,2.39,0.983
12.7,WT9X43,6.42,19.2,WT9X43,0.861,82.4,87.6,2.04,28.8,39.9,29.5,40.6,11.2,15.8,F,WT,43,5.5,19.9,24.2,11.1,11.13,7.2,9.2,9.25,1.17,1.63,3.95,2.55,2.63,0.77,0.75,0.48,0.5,0.25,1.86,0.57
17.6,WT9X59.5,17.4,14.5,WT9X59.5,0.862,119,126,5.3,29.6,40.9,30.3,41.6,15.9,22.5,F,WT,59.5,5.5,28.7,34.5,11.3,11.25,5.31,9.49,9.5,1.46,1.94,4.03,2.6,2.69,1.06,1.06,0.655,0.63,0.31,2.03,0.778
19.2,WT9X65,22.8,14.4,WT9X65,0.873,127,139,7.23,29.8,41,30.5,41.7,16.7,24.9,F,WT,65,5.5,30.5,38.3,11.2,11.13,4.65,9.63,9.63,1.6,2.06,4,2.58,2.7,1.2,1.19,0.67,0.69,0.38,2.02,0.856
10.4,WT9X35.5,3.96,18.7,WT9X35.5,0.752,78.2,30.1,1.74,25.6,33.2,26.1,33.8,11.2,7.89,F,WT,35.5,3.5,20,12.3,7.64,7.63,4.71,9.24,9.25,1.21,1.5,3.72,2.74,1.7,0.81,0.81,0.495,0.5,0.25,2.26,0.683
11.1,WT9X38,4.37,21.4,WT9X38,0.861,71.8,76.2,1.41,28.5,39.5,29.2,40.2,9.83,13.8,F,WT,38,5.5,17.3,21.1,11,11,8.11,9.11,9.13,1.08,1.56,3.93,2.54,2.61,0.68,0.69,0.425,0.44,0.25,1.8,0.505
8.1,WT9X27.5,1.84,23.2,WT9X27.5,0.749,59.5,22.5,0.83,25.1,32.7,25.7,33.2,8.63,5.97,F,WT,27.5,3.5,15.3,9.26,7.53,7.5,5.98,9.06,9,1.03,1.31,3.68,2.71,1.67,0.63,0.63,0.39,0.38,0.19,2.16,0.538
9.55,WT9X32.5,3.01,20.4,WT9X32.5,0.755,70.7,27.4,1.36,25.4,33,26,33.5,10.1,7.22,F,WT,32.5,3.5,18,11.2,7.59,7.63,5.06,9.18,9.13,1.15,1.44,3.69,2.72,1.69,0.75,0.75,0.45,0.44,0.25,2.2,0.629
8.82,WT9X30,2.35,22,WT9X30,0.756,64.7,25,1.08,25.3,32.8,25.8,33.4,9.29,6.63,F,WT,30,3.5,16.5,10.3,7.56,7.5,5.44,9.12,9.13,1.1,1.38,3.67,2.71,1.68,0.695,0.69,0.415,0.44,0.25,2.16,0.583
14.2,WT9X48.5,9.29,17.4,WT9X48.5,0.863,93.8,100,2.92,29,40.1,29.7,40.8,12.7,18,F,WT,48.5,5.5,22.6,27.6,11.1,11.13,6.41,9.3,9.25,1.27,1.75,3.97,2.56,2.65,0.87,0.88,0.535,0.56,0.31,1.91,0.64
11.3,WT8X38.5,4.61,18.2,WT8X38.5,0.877,56.9,69.2,1.78,26.1,36.4,26.8,37.1,8.59,13.4,F,WT,38.5,5.5,15.3,20.5,10.3,10.25,6.77,8.26,8.25,1.16,1.63,3.57,2.24,2.47,0.76,0.75,0.455,0.44,0.25,1.63,0.549
5.88,WT9X20,0.788,28.4,WT9X20,0.693,44.8,9.55,0.404,23.4,29.4,23.9,29.9,6.73,3.17,F,WT,20,3.5,12,4.97,6.02,6,5.73,8.95,9,0.927,1.19,3.65,2.76,1.27,0.525,0.5,0.315,0.31,0.19,2.29,0.489
7.34,WT9X25,1.36,25.4,WT9X25,0.748,53.5,20,0.619,25,32.5,25.5,33,7.79,5.35,F,WT,25,3.5,13.8,8.28,7.5,7.5,6.57,9,9,0.972,1.25,3.66,2.7,1.65,0.57,0.56,0.355,0.38,0.19,2.12,0.489
9.81,WT8X33.5,3.01,20.7,WT8X33.5,0.879,48.6,59.5,1.19,25.9,36.1,26.5,36.7,7.36,11.6,F,WT,33.5,5.5,13,17.7,10.2,10.25,7.7,8.17,8.13,1.07,1.56,3.54,2.22,2.46,0.665,0.69,0.395,0.38,0.19,1.56,0.481
7.37,WT8X25,1.34,21.4,WT8X25,0.769,42.3,18.6,0.76,22.8,29.9,23.3,30.4,6.78,5.26,F,WT,25,3.5,12,8.15,7.07,7.13,5.61,8.13,8.13,1.03,1.31,3.28,2.4,1.59,0.63,0.63,0.38,0.38,0.19,1.89,0.521
8.39,WT8X28.5,1.99,19.1,WT8X28.5,0.77,48.7,21.6,1.1,23,30.2,23.6,30.7,7.77,6.06,F,WT,28.5,3.5,13.8,9.42,7.12,7.13,4.98,8.22,8.25,1.12,1.38,3.3,2.41,1.6,0.715,0.69,0.43,0.44,0.25,1.94,0.589
6.63,WT8X22.5,0.974,23.4,WT8X22.5,0.767,37.8,16.4,0.555,22.7,29.7,23.2,30.2,6.1,4.67,F,WT,22.5,3.5,10.8,7.22,7.04,7,6.23,8.07,8.13,0.967,1.25,3.27,2.39,1.57,0.565,0.56,0.345,0.38,0.19,1.86,0.471
5.15,WT9X17.5,0.598,29.5,WT9X17.5,0.662,40.1,7.67,0.252,23.2,29.2,23.7,29.7,6.21,2.56,F,WT,17.5,3.5,11.2,4.02,6,6,7.06,8.85,8.88,0.827,1.13,3.74,2.79,1.22,0.425,0.44,0.3,0.31,0.19,2.39,0.45
5.29,WT8X18,0.516,26.9,WT8X18,0.745,30.6,12.2,0.272,22.3,29.3,22.9,29.8,5.05,3.5,F,WT,18,3.5,8.93,5.42,6.99,7,8.12,7.93,7.88,0.832,1.13,3.3,2.41,1.52,0.43,0.44,0.295,0.31,0.19,1.88,0.378
4.56,WT8X15.5,0.366,28.9,WT8X15.5,0.695,27.5,6.2,0.23,20.9,26.4,21.4,26.9,4.64,2.24,F,WT,15.5,3.5,8.27,3.51,5.53,5.5,6.28,7.94,8,0.842,1.13,3.26,2.45,1.17,0.44,0.44,0.275,0.25,0.13,2.02,0.413
5.89,WT8X20,0.673,26.3,WT8X20,0.769,33.1,14.4,0.396,22.5,29.5,23,30,5.35,4.12,F,WT,20,3.5,9.43,6.36,7,7,6.93,8.01,8,0.907,1.19,3.24,2.37,1.56,0.505,0.5,0.305,0.31,0.19,1.81,0.421
3.84,WT8X13,0.243,31.4,WT8X13,0.667,23.5,4.79,0.13,20.7,26.2,21.2,26.7,4.09,1.74,F,WT,13,3.5,7.36,2.73,5.5,5.5,7.97,7.85,7.88,0.747,1.06,3.32,2.47,1.12,0.345,0.38,0.25,0.25,0.13,2.09,0.372
129,WT7X436.5,8980,2.99,WT7X436.5,0.962,1040,3080,1110,41.9,60.7,42.4,61.2,131,328,T,WT,436.5,8.5,281,511,18.8,18.75,1.71,11.8,11.75,6.1,6.19,5.76,2.84,4.89,5.51,5.5,3.94,3.94,2,3.88,3.43
6.77,WT9X23,1.2,25.1,WT9X23,0.695,52.1,11.3,0.609,23.6,29.7,24.1,30.2,7.77,3.71,F,WT,23,3.5,13.9,5.84,6.06,6,5.01,9.03,9,1.01,1.25,3.67,2.77,1.29,0.605,0.63,0.36,0.38,0.19,2.33,0.558
14.7,WT8X50,10.4,14.5,WT8X50,0.878,76.8,93.1,3.85,26.7,37.1,27.4,37.8,11.4,17.9,F,WT,50,5.5,20.7,27.4,10.4,10.38,5.29,8.49,8.5,1.39,1.88,3.63,2.28,2.51,0.985,1,0.585,0.56,0.31,1.76,0.706
13.1,WT8X44.5,7.19,16,WT8X44.5,0.877,67.2,81.3,2.72,26.5,36.9,27.2,37.6,10.1,15.7,F,WT,44.5,5.5,18.1,24,10.4,10.38,5.92,8.38,8.38,1.28,1.75,3.6,2.27,2.49,0.875,0.88,0.525,0.5,0.25,1.7,0.631
119,WT7X404,7000,3.05,WT7X404,0.96,898,2770,898,40.9,59.5,41.4,60,116,298,T,WT,404,8.5,249,465,18.6,18.63,1.82,11.4,11.38,5.71,5.75,5.67,2.75,4.82,5.12,5.13,3.74,3.75,1.88,3.69,3.2
107,WT7X365,5250,3.65,WT7X365,0.966,739,2360,714,39.3,57.2,40.3,58.2,95.4,264,T,WT,365,7.5,211,408,17.9,17.88,1.82,11.2,11.25,5.51,6.19,5.47,2.62,4.69,4.91,4.94,3.07,3.06,1.56,3.47,3
97.8,WT7X332.5,3920,3.82,WT7X332.5,0.966,622,2080,555,38.3,56,39.3,57,82.1,236,T,WT,332.5,7.5,182,365,17.7,17.63,1.95,10.8,10.88,5.12,5.81,5.35,2.52,4.62,4.52,4.5,2.83,2.81,1.44,3.25,2.77
89,WT7X302.5,2930,4.04,WT7X302.5,0.966,524,1840,430,37.4,54.8,38.4,55.8,70.6,211,T,WT,302.5,7.5,157,326,17.4,17.38,2.09,10.5,10.5,4.76,5.44,5.24,2.43,4.55,4.16,4.19,2.6,2.63,1.31,3.05,2.55
80.9,WT7X275,2180,4.24,WT7X275,0.966,442,1630,331,36.4,53.6,37.4,54.6,60.9,189,T,WT,275,7.5,136,292,17.2,17.25,2.25,10.1,10.13,4.42,5.13,5.15,2.34,4.49,3.82,3.81,2.38,2.38,1.19,2.85,2.35
73.5,WT7X250,1620,4.47,WT7X250,0.967,375,1440,254,35.6,52.6,36.6,53.6,52.7,169,T,WT,250,7.5,117,261,17,17,2.43,9.8,9.75,4.1,4.81,5.06,2.26,4.43,3.5,3.5,2.19,2.19,1.13,2.67,2.16
66.9,WT7X227.5,1210,4.71,WT7X227.5,0.967,321,1280,196,34.8,51.6,35.8,52.6,45.9,152,T,WT,227.5,7.5,102,234,16.8,16.88,2.62,9.51,9.5,3.81,4.5,4.98,2.19,4.38,3.21,3.19,2.02,2,1,2.51,1.99
62.7,WT7X213,991,4.97,WT7X213,0.968,287,1180,164,34.4,51.1,35.4,52.1,41.4,141,T,WT,213,7.5,91.7,217,16.7,16.75,2.75,9.34,9.38,3.63,4.31,4.92,2.14,4.34,3.04,3.06,1.88,1.88,0.94,2.4,1.88
54.4,WT7X185,640,5.4,WT7X185,0.968,229,994,110,33.4,49.9,34.4,50.9,33.9,121,T,WT,185,7.5,74.4,185,16.5,16.5,3.1,8.96,9,3.26,3.94,4.82,2.05,4.27,2.66,2.69,1.66,1.69,0.81,2.19,1.65
58.4,WT7X199,801,5.17,WT7X199,0.968,257,1090,135,33.9,50.5,34.9,51.5,37.6,131,T,WT,199,7.5,82.9,201,16.6,16.63,2.92,9.15,9.13,3.44,4.13,4.87,2.1,4.31,2.85,2.88,1.77,1.75,0.88,2.3,1.76
50.3,WT7X171,502,5.69,WT7X171,0.968,203,903,88.3,32.9,49.3,33.9,50.3,30.4,110,T,WT,171,7.5,66.2,169,16.4,16.38,3.31,8.77,8.75,3.07,3.75,4.77,2.01,4.24,2.47,2.5,1.54,1.56,0.81,2.09,1.54
45.7,WT7X155.5,375,6.07,WT7X155.5,0.969,176,807,67.5,32.3,48.5,33.3,49.5,26.7,99.4,T,WT,155.5,7.5,57.7,152,16.2,16.25,3.59,8.56,8.5,2.86,3.56,4.71,1.96,4.2,2.26,2.25,1.41,1.44,0.75,1.97,1.41
41.6,WT7X141.5,281,6.49,WT7X141.5,0.969,153,722,51.8,31.8,47.9,32.8,48.9,23.5,89.7,T,WT,141.5,7.5,50.4,137,16.1,16.13,3.89,8.37,8.38,2.67,3.38,4.66,1.92,4.17,2.07,2.06,1.29,1.31,0.69,1.86,1.29
37.8,WT7X128.5,209,6.94,WT7X128.5,0.969,133,645,39.3,31.4,47.4,32.4,48.4,20.7,80.7,F,WT,128.5,7.5,43.9,123,16,16,4.23,8.19,8.25,2.49,3.19,4.61,1.88,4.13,1.89,1.88,1.18,1.19,0.63,1.75,1.18
