A,AISC_name,Cw,EDI_Std_Nomenclature,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,h_tw,ho,k1,kdes,kdet,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2
99.2,W27X336,226000,W27X336,14600,1180,131,100,115,74.6,89.2,211,563,842,972,162,23,T,W,336,5.5,101,1130,252,14.6,14.5,3.19,30,30,18.9,27.7,1.81,3.07,3.5,4.1,12.1,3.45,2.28,2.25,1.26,1.25,0.63
90.2,W27X307,199000,W27X307,13100,1050,101,98.6,113,73.6,88,190,508,745,887,146,23,T,W,307,5.5,99,1030,227,14.4,14.5,3.46,29.6,29.63,20.6,27.5,1.81,2.88,3.31,4.04,12,3.41,2.09,2.06,1.16,1.19,0.63
83.1,W27X281,178000,W27X281,11900,953,79.5,98.6,113,73,87.4,176,466,685,814,133,23,F,W,281,5.5,98.5,936,206,14.4,14.38,3.72,29.3,29.25,22.5,27.4,1.75,2.72,3.13,4,12,3.39,1.93,1.94,1.06,1.06,0.56
76.1,W27X258,159000,W27X258,10800,859,61.6,97.7,112,72.3,86.6,160,424,616,745,120,23,F,W,258,5.5,97.3,852,187,14.3,14.25,4.03,29,29,24.4,27.2,1.69,2.56,3,3.96,11.9,3.36,1.77,1.75,0.98,1,0.5
69.4,W27X235,141000,W27X235,9700,769,47,96.8,111,71.6,85.8,145,384,550,677,108,23,F,W,235,5.5,96.2,772,168,14.2,14.25,4.41,28.7,28.63,26.2,27.1,1.69,2.4,2.88,3.92,11.8,3.33,1.61,1.63,0.91,0.94,0.5
57.1,W27X194,111000,W27X194,7860,619,27.1,95,109,70.2,84.2,119,312,439,559,88.1,23,F,W,194,5.5,93.7,631,136,14,14,5.24,28.1,28.13,31.8,26.8,1.56,2.13,2.56,3.85,11.7,3.29,1.34,1.31,0.75,0.75,0.38
63.9,W27X217,128000,W27X217,8910,704,37.6,95.9,110,70.9,85,134,351,501,627,100,23,F,W,217,5.5,94.8,711,154,14.1,14.13,4.71,28.4,28.38,28.7,26.9,1.63,2.29,2.69,3.89,11.8,3.32,1.5,1.5,0.83,0.81,0.44
52.5,W27X178,98400,W27X178,7020,555,20.1,94.9,109,69.7,83.8,106,282,393,505,78.8,23,F,W,178,5.5,93.8,570,122,14.1,14.13,5.92,27.8,27.75,32.9,26.6,1.56,1.98,2.38,3.83,11.6,3.25,1.19,1.19,0.725,0.75,0.38
47.6,W27X161,87300,W27X161,6310,497,15.1,95,109,69.2,83.2,95.5,254,351,458,70.9,23,F,W,161,5.5,92.8,515,109,14,14,6.49,27.6,27.63,36.1,26.5,1.56,1.87,2.31,3.79,11.5,3.23,1.08,1.06,0.66,0.69,0.38
37.8,W27X129,32500,W27X129,4760,184,11.1,83,93,65.2,75.2,68.4,195,182,345,36.8,23,F,W,129,5.5,66.3,395,57.6,10,10,4.55,27.6,27.63,39.7,26.5,1.5,1.7,2.31,2.66,11.2,2.21,1.1,1.13,0.61,0.63,0.31
43.2,W27X146,77200,W27X146,5660,443,11.3,94,108,68.8,82.8,86.3,229,316,414,63.5,23,F,W,146,5.5,92.5,464,97.7,14,14,7.16,27.4,27.38,39.4,26.4,1.5,1.76,2.19,3.76,11.5,3.2,0.975,1,0.605,0.63,0.31
33.6,W27X114,27600,W27X114,4080,159,7.33,82.7,92.8,64.7,74.8,58.4,170,156,299,31.5,23,F,W,114,5.5,66.6,343,49.3,10.1,10.13,5.41,27.3,27.25,42.5,26.4,1.5,1.53,2.13,2.65,11,2.18,0.93,0.94,0.57,0.56,0.31
30,W27X102,24000,W27X102,3620,139,5.28,82.1,92.1,64.2,74.2,51.7,151,136,267,27.8,23,F,W,102,5.5,65.7,305,43.4,10,10,6.03,27.1,27.13,47.1,26.3,1.44,1.43,2.06,2.62,11,2.15,0.83,0.81,0.515,0.5,0.25
24.7,W27X84,17900,W27X84,2850,106,2.81,81.5,91.5,63.4,73.4,39.8,121,104,213,21.2,23,F,W,84,5.5,65.2,244,33.2,10,10,7.78,26.7,26.75,52.7,26.1,1.44,1.24,1.88,2.54,10.7,2.07,0.64,0.63,0.46,0.44,0.25
109,W24X370,186000,W24X370,13400,1160,201,93.3,107,69.7,83.4,209,568,807,957,170,20,T,W,370,5.5,86.6,1130,267,13.7,13.63,2.51,28,28,14.2,25.3,2,3.22,4,3.92,11.1,3.27,2.72,2.75,1.52,1.5,0.75
27.6,W27X94,21300,W27X94,3270,124,4.03,81.8,91.8,63.8,73.8,46.3,137,122,243,24.8,23,F,W,94,5.5,65.4,278,38.8,10,10,6.7,26.9,26.88,49.5,26.2,1.44,1.34,1.94,2.59,10.9,2.12,0.745,0.75,0.49,0.5,0.25
98.3,W24X335,161000,W24X335,11900,1030,152,91.5,105,68.5,82,188,506,707,864,152,20,T,W,335,5.5,84.4,1020,238,13.5,13.5,2.73,27.5,27.5,15.6,25,1.88,2.98,3.75,3.86,11,3.23,2.48,2.5,1.38,1.38,0.69
89.7,W24X306,142000,W24X306,10700,919,117,90.6,104,67.6,81,172,459,635,789,137,20,T,W,306,5.5,83.1,922,214,13.4,13.38,2.94,27.1,27.13,17.1,24.8,1.81,2.78,3.56,3.81,10.9,3.2,2.28,2.25,1.26,1.25,0.63
81.9,W24X279,125000,W24X279,9600,823,90.5,89.7,103,66.7,80,156,416,569,718,124,20,T,W,279,5.5,81.8,835,193,13.3,13.25,3.18,26.7,26.75,18.6,24.6,1.81,2.59,3.38,3.76,10.8,3.17,2.09,2.06,1.16,1.19,0.63
73.5,W24X250,108000,W24X250,8490,724,66.6,88.8,102,65.8,79,140,370,502,644,110,20,F,W,250,5.5,80.6,744,171,13.2,13.13,3.49,26.3,26.38,20.7,24.4,1.75,2.39,3.13,3.71,10.7,3.14,1.89,1.88,1.04,1.06,0.56
67.2,W24X229,96100,W24X229,7650,651,51.3,88.9,102,65.1,78.2,127,336,450,588,99.4,20,F,W,229,5.5,79.5,675,154,13.1,13.13,3.79,26,26,22.5,24.3,1.69,2.23,3,3.67,10.7,3.11,1.73,1.75,0.96,0.94,0.5
56.5,W24X192,76300,W24X192,6260,530,30.8,88,101,64,77,107,280,371,491,81.8,20,F,W,192,5.5,78.1,559,126,13,13,4.43,25.5,25.5,26.6,24,1.63,1.96,2.75,3.6,10.5,3.07,1.46,1.44,0.81,0.81,0.44
60.7,W24X207,84100,W24X207,6820,578,38.3,88,101,64.4,77.4,115,302,400,531,88.8,20,F,W,207,5.5,78.4,606,137,13,13,4.14,25.7,25.75,24.8,24.1,1.63,2.07,2.88,3.62,10.6,3.08,1.57,1.56,0.87,0.88,0.44
51.7,W24X176,68400,W24X176,5680,479,23.9,86.7,100,63.3,76.2,97.1,254,333,450,74.3,20,F,W,176,5.5,76.9,511,115,12.9,12.88,4.81,25.2,25.25,28.7,23.9,1.56,1.84,2.63,3.57,10.5,3.04,1.34,1.31,0.75,0.75,0.38
47.8,W24X162,62600,W24X162,5170,443,18.5,86.7,100,63,76,89.2,233,306,414,68.4,20,F,W,162,5.5,77.3,468,105,13,13,5.31,25,25,30.6,23.8,1.56,1.72,2.5,3.57,10.4,3.05,1.22,1.25,0.705,0.69,0.38
43,W24X146,54600,W24X146,4580,391,13.4,85.9,98.8,62.3,75.2,78.8,207,268,371,60.5,20,F,W,146,5.5,76.1,418,93.2,12.9,12.88,5.92,24.7,24.75,33.2,23.6,1.56,1.59,2.38,3.53,10.3,3.01,1.09,1.06,0.65,0.63,0.31
34.4,W24X117,40800,W24X117,3540,297,6.72,85,97.8,61.4,74.2,61,163,204,291,46.5,20,F,W,117,5.5,75,327,71.4,12.8,12.75,7.53,24.3,24.25,39.2,23.5,1.5,1.35,2.13,3.46,10.1,2.94,0.85,0.88,0.55,0.56,0.31
38.6,W24X131,47100,W24X131,4020,340,9.5,85.6,98.5,61.9,74.8,69.5,184,235,329,53,20,F,W,131,5.5,75.9,370,81.5,12.9,12.88,6.7,24.5,24.5,35.6,23.5,1.5,1.46,2.25,3.49,10.2,2.97,0.96,0.94,0.605,0.63,0.31
30.7,W24X104,35200,W24X104,3100,259,4.72,84.7,97.5,61,73.8,53.9,144,179,258,40.7,20,F,W,104,5.5,74.7,289,62.4,12.8,12.75,8.5,24.1,24,43.1,23.4,1.44,1.25,2.06,3.42,10.1,2.91,0.75,0.75,0.5,0.5,0.25
27.7,W24X94,15000,W24X94,2700,109,5.26,73.9,83,57.7,66.7,43.8,126,105,222,24,20,F,W,94,5.5,53.1,254,37.5,9.07,9.13,5.18,24.3,24.25,41.9,23.4,1.44,1.38,2.13,2.4,9.87,1.98,0.875,0.88,0.515,0.5,0.25
30.3,W24X103,16600,W24X103,3000,119,7.07,74,83,58,67,48.7,139,117,245,26.5,20,F,W,103,5.5,52.9,280,41.5,9,9,4.59,24.5,24.5,39.2,23.5,1.5,1.48,2.25,2.4,10,1.99,0.98,1,0.55,0.56,0.31
