A,AISC_name,Cw,EDI_Std_Nomenclature,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,h_tw,ho,k1,kdes,kdet,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2
1.75,M4X6,4.87,M4X6,4.72,1.47,0.0184,18.2,22,11.4,15.2,0.53,1.3,0.53,2.48,0.771,2.75,F,M,6,0,3.46,2.74,1.18,3.8,3.75,11.9,3.8,3.75,22,3.64,0.38,0.5,0.5,1.04,1.64,0.915,0.16,0.19,0.13,0.13,0.06
1.01,M4X3.2,0.93,M4X3.2,2.86,0.248,0.0082,14,16.3,10.3,12.5,0.27,0.73,0.16,1.43,0.221,3,F,M,3.2,0,2.18,1.6,0.346,2.25,2.25,8.65,4,4,33.9,3.87,0.38,0.5,0.5,0.58,1.68,0.496,0.13,0.13,0.092,0.06,0.06
1.01,M4X3.45,0.93,M4X3.45,2.86,0.248,0.0082,14,16.3,10.3,12.5,0.27,0.73,0.16,1.43,0.221,3,F,M,3.45,0,2.18,1.6,0.346,2.25,2.25,8.65,4,4,33.9,3.87,0.38,0.5,0.5,0.58,1.68,0.496,0.13,0.13,0.092,0.06,0.06
31.1,S24X106,10500,S24X106,2940,76.8,10.1,68.4,76.3,56.9,64.7,46.2,139,98.8,240,19.5,20.5,F,S,106,4,46.1,279,33.4,7.87,7.88,3.61,24.5,24.5,33.4,23.4,0,2,2,1.93,9.71,1.57,1.09,1.06,0.62,0.63,0.31
35.5,S24X121,11400,S24X121,3160,83,12.8,68.6,76.6,57.1,65.1,46.2,153,103,258,20.6,20.5,F,S,121,4,47.1,306,36.3,8.05,8,3.69,24.5,24.5,25.9,23.4,0,2,2,1.94,9.43,1.53,1.09,1.06,0.8,0.81,0.44
26.5,S24X90,5980,S24X90,2250,44.7,6.05,65.4,725,55.1,62.3,32.7,110,63.8,187,12.5,20.5,F,S,90,4,41.2,222,22.4,7.13,7.13,4.09,24,24,33.1,23.1,0,1.75,1.75,1.66,9.21,1.3,0.87,0.88,0.625,0.63,0.31
29.3,S24X100,6350,S24X100,2380,47.4,7.59,65.5,72.8,55.3,62.5,32.7,119,66,199,13.1,20.5,F,S,100,4,41.9,239,24,7.25,7.25,4.16,24,24,27.8,23.1,0,1.75,1.75,1.66,9.01,1.27,0.87,0.88,0.745,0.75,0.38
23.5,S24X80,5620,S24X80,2100,42,4.89,65.2,72.2,55,62,32.7,101,61.6,175,12,20.5,F,S,80,4,40.5,204,20.8,7,7,4.02,24,24,41.4,23.1,0,1.75,1.75,1.67,9.47,1.34,0.87,0.88,0.5,0.5,0.25
0.914,M3X2.9,0.511,M3X2.9,1.5,0.248,0.0079,12,14.3,8.25,10.5,0.2,0.5,0.12,1,0.221,2,F,M,2.9,0,1.61,1.12,0.344,2.25,2.25,8.65,3,3,23.6,2.87,0.38,0.5,0.5,0.597,1.28,0.521,0.13,0.13,0.09,0.06,0.06
28.2,S20X96,4690,S20X96,1670,49.9,8.4,57.9,65.1,47.8,55,28.5,98.3,57.8,165,13.9,16.75,F,S,96,4,34.9,198,24.9,7.2,7.25,3.91,20.3,20.25,21.1,19.4,0,1.75,1.75,1.71,7.71,1.33,0.92,0.94,0.8,0.81,0.44
25.3,S20X86,4370,S20X86,1570,46.6,6.65,57.8,64.9,47.7,54.7,28.5,91.1,55.5,155,13.2,16.75,F,S,86,4,34.2,183,23.1,7.06,7,3.84,20.3,20.25,25.6,19.4,0,1.75,1.75,1.71,7.89,1.36,0.92,0.94,0.66,0.69,0.38
19.4,S20X66,2530,S20X66,1190,27.5,3.58,55.3,61.5,46.3,52.5,21.9,69.1,37.3,119,8.78,16.75,F,S,66,3.5,30,139,15.4,6.26,6.25,3.93,20,20,33.5,19.2,0,1.63,1.63,1.49,7.83,1.19,0.795,0.81,0.505,0.5,0.25
22,S20X75,2720,S20X75,1280,29.5,4.59,55.4,61.8,46.4,52.8,21.9,75.6,38.9,128,9.25,16.75,F,S,75,3.5,30.7,152,16.7,6.39,6.38,4.02,20,20,26.6,19.2,0,1.63,1.63,1.49,7.62,1.16,0.795,0.81,0.635,0.63,0.31
20.5,S18X70,1800,S18X70,923,24,4.1,50.9,57.2,42.3,48.5,16.6,61.9,29.2,103,7.69,15,F,S,70,3.5,27,124,14.3,6.25,6.25,4.52,18,18,21.5,17.3,0,1.5,1.5,1.42,6.7,1.08,0.691,0.69,0.711,0.69,0.38
16,S18X54.7,1550,S18X54.7,801,20.7,2.33,50.7,56.7,42,48,16.6,51.8,26.9,89,6.91,15,F,S,54.7,3.5,26,104,12.1,6,6,4.34,18,18,33.2,17.3,0,1.5,1.5,1.42,7.07,1.14,0.691,0.69,0.461,0.44,0.25
14.7,S15X50,805,S15X50,485,15.6,2.12,43.6,49.2,35.6,41.3,11.4,38.2,17.8,64.7,5.53,12.25,F,S,50,3.5,20.3,77,10,5.64,5.63,4.53,15,15,22.7,14.4,0,1.38,1.38,1.32,5.75,1.03,0.622,0.63,0.55,0.56,0.31
12.6,S15X42.9,737,S15X42.9,446,14.3,1.54,43.4,48.9,35.5,41,11.4,34.3,16.9,59.4,5.19,12.25,F,S,42.9,3.5,19.8,69.2,9.08,5.5,5.5,4.42,15,15,30.4,14.4,0,1.38,1.38,1.31,5.95,1.06,0.622,0.63,0.411,0.44,0.25
14.7,S12X50,501,S12X50,303,15.6,2.77,36.9,42.4,29.5,35,8.95,30.3,14,50.6,5.69,9.13,F,S,50,3,15.5,60.9,10.3,5.48,5.5,4.16,12,12,13.7,11.3,0,1.44,1.44,1.32,4.55,1.03,0.659,0.69,0.687,0.69,0.38
11.9,S12X40.8,433,S12X40.8,270,13.5,1.69,36.6,41.9,29.3,34.5,8.95,26.2,12.9,45.1,5.13,9.13,F,S,40.8,3,14.9,52.7,8.86,5.25,5.25,3.98,12,12,20.6,11.3,0,1.44,1.44,1.3,4.76,1.06,0.659,0.69,0.462,0.44,0.25
9.31,S12X31.8,306,S12X31.8,217,9.33,0.878,36.3,41.3,29,34,7.24,20.8,9.74,36.2,3.73,9.63,F,S,31.8,3,14.3,41.8,6.44,5,5,4.6,12,12,28.3,11.5,0,1.19,1.19,1.21,4.83,1,0.544,0.56,0.35,0.38,0.19
10.2,S12X35,323,S12X35,228,9.84,1.05,36.4,41.5,29.1,34.2,7.24,22.2,10,38.1,3.88,9.63,F,S,35,3,14.5,44.6,6.8,5.08,5.13,4.67,12,12,23.1,11.5,0,1.19,1.19,1.22,4.72,0.98,0.544,0.56,0.428,0.44,0.25
10.3,S10X35,188,S10X35,147,8.3,1.29,31.7,36.7,24.9,29.9,5.08,17.6,7.13,29.4,3.36,7.75,F,S,35,2.75,11.8,35.4,6.19,4.94,5,5.03,10,10,13.4,9.51,0,1.13,1.13,1.16,3.78,0.899,0.491,0.5,0.594,0.63,0.31
7.45,S10X25.4,152,S10X25.4,123,6.73,0.603,31.5,36.1,24.7,29.3,5.08,14,6.34,24.6,2.89,7.75,F,S,25.4,2.75,11.1,28.3,4.99,4.66,4.63,4.75,10,10,25.6,9.51,0,1.13,1.13,1.14,4.07,0.95,0.491,0.5,0.311,0.31,0.19
6.76,S8X23,61.2,S8X23,64.7,4.27,0.55,26,30.1,20.2,24.3,3,9.53,3.5,16.2,2.05,6,F,S,23,2.25,7.9,19.2,3.67,4.17,4.13,4.91,8,8,14.1,7.58,0,1,1,0.999,3.09,0.795,0.425,0.44,0.441,0.44,0.25
5.4,S8X18.4,52.9,S8X18.4,57.5,3.69,0.335,25.8,29.8,20,24,3,8.17,3.22,14.4,1.84,6,F,S,18.4,2.25,7.58,16.5,3.18,4,4,4.71,8,8,22.9,7.58,0,1,1,0.985,3.26,0.827,0.425,0.44,0.271,0.25,0.13
5.05,S6X17.25,18.2,S6X17.25,26.2,2.29,0.371,20.4,24,15.6,19.1,1.57,5.23,1.61,8.74,1.28,4.38,F,S,17.25,0,5.03,10.5,2.35,3.57,3.63,4.97,6,6,9.67,5.64,0,0.813,0.81,0.859,2.28,0.673,0.359,0.38,0.465,0.44,0.25
3.66,S6X12.5,14.3,S6X12.5,22,1.8,0.167,20.2,23.5,15.3,18.7,1.57,4.18,1.41,7.34,1.08,4.38,F,S,12.5,0,4.7,8.45,1.86,3.33,3.38,4.64,6,6,19.4,5.64,0,0.813,0.81,0.831,2.45,0.702,0.359,0.38,0.232,0.25,0.13
2.93,S5X10,6.52,S5X10,12.3,1.19,0.114,17.3,20.3,13,16,1.06,2.79,0.859,4.9,0.795,3.5,F,S,10,0,3.51,5.66,1.37,3,3,4.61,5,5,16.8,4.67,0,0.75,0.75,0.754,2.05,0.638,0.326,0.31,0.214,0.19,0.13
2.79,S4X9.5,3.05,S4X9.5,6.76,0.887,0.12,14.5,17.3,10.8,13.6,0.671,1.99,0.531,3.38,0.635,2.5,F,S,9.5,0,2.59,4.04,1.13,2.8,2.75,4.77,4,4,8.33,3.71,0,0.75,0.75,0.698,1.56,0.564,0.293,0.31,0.326,0.31,0.19
2.26,S4X7.7,2.57,S4X7.7,6.05,0.748,0.0732,14.4,17.1,10.7,13.3,0.671,1.73,0.481,3.03,0.562,2.5,F,S,7.7,0,2.47,3.5,0.97,2.66,2.63,4.54,4,4,14.1,3.71,0,0.75,0.75,0.676,1.64,0.576,0.293,0.31,0.193,0.19,0.13
2.2,S3X7.5,1.08,S3X7.5,2.91,0.578,0.0896,11.8,14.3,8.51,11,0.385,1.16,0.28,1.94,0.461,1.75,F,S,7.5,0,1.72,2.35,0.821,2.51,2.5,4.83,3,3,5.38,2.74,0,0.625,0.63,0.638,1.15,0.513,0.26,0.25,0.349,0.38,0.19
1.66,S3X5.7,0.838,S3X5.7,2.5,0.447,0.0433,11.6,14,8.33,10.7,0.385,0.961,0.242,1.67,0.383,1.75,F,S,5.7,0,1.6,1.94,0.656,2.33,2.38,4.48,3,3,11,2.74,0,0.625,0.63,0.605,1.23,0.518,0.26,0.25,0.17,0.19,0.13
60.2,HP18X204,82500,HP18X204,3480,1120,29.5,86.6,105,54.7,72.8,82.3,212,397,380,124,13.5,F,HP,204,7.5,77.7,433,191,18.1,18.13,8.01,18.3,18.25,12.1,17.2,1.75,2.31,2.31,5.03,7.6,4.31,1.13,1.13,1.13,1.13,0.56
53.2,HP18X181,70400,HP18X181,3020,974,20.7,86,104,54,72,72.3,185,344,336,108,13.5,F,HP,181,7.5,76.5,379,167,18,18,9,18,18,13.6,17,1.69,2.18,2.19,4.96,7.53,4.28,1,1,1,1,0.5
46.2,HP18X157,59000,HP18X157,2570,833,13.9,85.3,103,53.3,71.2,62.3,159,293,290,93.1,13.5,F,HP,157,7.5,75.3,327,143,17.9,17.88,10.3,17.7,17.75,15.6,16.8,1.63,2.05,2.06,4.92,7.46,4.25,0.87,0.88,0.87,0.88,0.44
39.9,HP18X135,49500,HP18X135,2200,706,9.12,84.9,103,52.8,70.6,53.5,136,249,251,79.3,13.5,F,HP,135,7.5,74.5,281,122,17.8,17.75,11.9,17.5,17.5,18.2,16.8,1.56,1.93,1.94,4.85,7.43,4.21,0.75,0.75,0.75,0.75,0.38
47.7,HP16X162,40800,HP16X162,2190,697,18.8,76.9,93,48.7,64.8,57.8,149,248,269,86.6,11.75,F,HP,162,5.5,61.6,306,134,16.1,16.13,8.05,16.3,16.25,11.9,15.3,1.69,2.18,2.19,4.45,6.78,3.82,1,1,1,1,0.5
54.1,HP16X183,48300,HP16X183,2510,818,26.9,77.6,93.9,49.3,65.6,65.4,169,285,304,100,11.75,F,HP,183,5.5,62.2,349,156,16.3,16.5,7.21,16.5,16.5,10.5,15.4,1.75,2.31,2.31,4.55,6.81,3.89,1.13,1.13,1.13,1.13,0.56
35.8,HP16X121,28500,HP16X121,1590,504,8.35,75.8,91.7,47.5,63.4,42.8,109,178,201,63.4,11.75,F,HP,121,5.5,59.8,226,97.6,15.9,15.88,10.6,15.8,15.75,15.9,15.1,1.56,1.93,1.94,4.34,6.66,3.75,0.75,0.75,0.75,0.75,0.38
41.7,HP16X141,34300,HP16X141,1870,599,12.9,76.2,92.2,48,64,50,128,212,234,74.9,11.75,F,HP,141,5.5,60.5,264,116,16,16,9.14,16,16,13.6,15.1,1.63,2.06,2.06,4.4,6.7,3.79,0.875,0.88,0.875,0.88,0.44
29.9,HP16X101,22800,HP16X101,1300,412,5.07,75.1,90.9,46.8,62.6,35.3,89.3,145,168,52.2,11.75,F,HP,101,5.5,58.8,187,80.1,15.8,15.75,12.6,15.5,15.5,19,14.9,1.5,1.81,1.81,4.27,6.59,3.71,0.625,0.63,0.625,0.63,0.31
25.8,HP16X88,19000,HP16X88,1110,349,3.45,74.6,90.3,46.3,62,30.2,76.2,123,145,44.5,11.75,F,HP,88,5.5,57.9,161,68.2,15.7,15.69,14.5,15.3,15.38,22,14.8,1.44,1.72,1.75,4.21,6.56,3.68,0.54,0.56,0.54,0.56,0.31
34.4,HP14X117,19900,HP14X117,1220,443,8.02,4.15,85.4,43.3,58.2,38,96.3,149,172,59.5,11.25,F,HP,117,5.5,49.9,194,91.4,14.9,14.88,9.25,14.2,14.25,14.2,13.4,1.63,1.5,2.06,4.15,5.96,3.59,0.805,0.81,0.805,0.81,0.44
30.1,HP14X102,16800,HP14X102,1050,380,5.39,4.1,84.8,42.8,57.6,33,83.3,128,150,51.4,11.25,F,HP,102,5.5,49.2,169,78.8,14.8,14.75,10.5,14,14,16.2,13.3,1.56,1.38,1.94,4.1,5.92,3.56,0.705,0.69,0.705,0.69,0.38
21.4,HP14X73,11200,HP14X73,729,261,2.01,4,83.6,41.8,56.4,23.3,58.3,88,107,35.8,11.25,F,HP,73,5.5,47.8,118,54.6,14.6,14.63,14.4,13.6,13.63,22.6,13.1,1.44,1.19,1.75,4,5.84,3.49,0.505,0.5,0.505,0.5,0.25
26.1,HP14X89,14200,HP14X89,904,326,3.59,4.05,84.1,42.3,57,28.6,71.9,110,131,44.3,11.25,F,HP,89,5.5,48.5,146,67.7,14.7,14.75,11.9,13.8,13.88,18.5,13.2,1.5,1.31,1.88,4.05,5.88,3.53,0.615,0.63,0.615,0.63,0.31
25.9,HP12X89,7640,HP12X89,693,224,4.92,59.2,71.5,37.1,49.4,24.3,62.5,79.5,112,36.4,9.5,F,HP,89,5.5,35.9,127,56,12.3,12.38,8.54,12.4,12.38,13.6,11.7,1.19,1.32,1.63,3.42,5.17,2.94,0.72,0.75,0.72,0.75,0.38
24.6,HP12X84,7140,HP12X84,650,213,4.24,3.41,71.4,36.9,49.2,23.1,59,75,106,34.6,9.5,F,HP,84,5.5,35.6,120,53.2,12.3,12.25,8.97,12.3,12.25,14.2,11.6,1.19,1.38,1.56,3.41,5.14,2.94,0.685,0.69,0.685,0.69,0.38
21.8,HP12X74,6160,HP12X74,569,186,2.98,3.38,70.8,36.4,48.6,20.4,51.9,65.5,93.8,30.4,9.5,F,HP,74,5.5,35.2,105,46.6,12.2,12.25,10,12.1,12.13,16.1,11.5,1.13,1.31,1.5,3.38,5.11,2.92,0.61,0.63,0.605,0.63,0.31
15.5,HP12X53,4080,HP12X53,393,127,1.12,3.29,69.7,35.6,47.6,14.3,36.2,44.7,66.7,21.1,9.5,F,HP,53,5.5,34.2,74,32.2,12,12,13.8,11.8,11.75,22.3,11.4,1.06,1.13,1.31,3.29,5.03,2.86,0.435,0.44,0.435,0.44,0.25
16.7,HP10X57,2240,HP10X57,294,101,1.97,48.6,58.8,30.2,40.4,12.9,32.8,34.8,58.8,19.7,7.5,F,HP,57,5.5,24.1,66.5,30.3,10.2,10.25,9.03,9.99,10,13.9,9.43,0.94,1.25,1.25,2.84,4.18,2.45,0.565,0.56,0.565,0.56,0.31
12.4,HP10X42,1540,HP10X42,210,71.7,0.813,48,58.1,29.5,39.6,9.41,23.7,24.7,43.4,14.2,7.5,F,HP,42,5.5,23.4,48.3,21.8,10.1,10.13,12,9.7,9.75,18.9,9.28,0.81,1.13,1.13,2.77,4.13,2.41,0.42,0.44,0.415,0.44,0.25
18.4,HP12X63,5000,HP12X63,472,153,1.83,3.33,70.1,35.9,48,17.1,43.3,54.1,79.1,25.3,9.5,F,HP,63,5.5,34.6,88.3,38.7,12.1,12.13,11.8,11.9,12,18.9,11.4,1.06,1.25,1.44,3.33,5.06,2.88,0.515,0.5,0.515,0.5,0.25
10.6,HP8X36,578,HP8X36,119,40.3,0.77,38.9,47.1,24.2,32.4,6.5,16.6,14,29.8,9.88,5.75,F,HP,36,5.5,15.4,33.6,15.2,8.16,8.13,9.16,8.02,8,14.2,7.58,0.88,1.13,1.13,2.26,3.36,1.95,0.445,0.44,0.445,0.44,0.25
