A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
5.54,2L3-1/2X2-1/2X1/2X3/4SLBB,2L3-1/2X2-1/2X1/2X3/4SLBB,0.953,2.72,20.2,1.51,5.21,F,2L,18.8,2.78,8.73,3.5,7,2.5,2.08,0.701,1.91,0.5,0.701,0.396
4.24,2L3-1/2X2-1/2X3/8SLBB,2L3-1/2X2-1/2X3/8SLBB,0.933,2.17,10.7,1.18,3.06,F,2L,14.4,2.13,4.88,3.5,9.33,2.5,1.81,0.716,1.59,0.375,0.655,0.303
4.24,2L3-1/2X2-1/2X3/8X3/8SLBB,2L3-1/2X2-1/2X3/8X3/8SLBB,0.941,2.17,12.7,1.18,3.44,F,2L,14.4,2.13,5.67,3.5,9.33,2.5,1.93,0.716,1.73,0.375,0.655,0.303
4.24,2L3-1/2X2-1/2X3/8X3/4SLBB,2L3-1/2X2-1/2X3/8X3/4SLBB,0.949,2.17,15,1.18,3.87,F,2L,14.4,2.13,6.47,3.5,9.33,2.5,2.07,0.716,1.88,0.375,0.655,0.303
3.58,2L3-1/2X2-1/2X5/16SLBB,2L3-1/2X2-1/2X5/16SLBB,0.93,1.87,8.94,1,2.55,F,2L,12.2,1.8,4.05,3.5,11.2,2.5,1.8,0.723,1.58,0.313,0.632,0.256
3.58,2L3-1/2X2-1/2X5/16X3/8SLBB,2L3-1/2X2-1/2X5/16X3/8SLBB,0.939,1.87,10.6,1,2.87,F,2L,12.2,1.8,4.72,3.5,11.2,2.5,1.92,0.723,1.72,0.313,0.632,0.256
3.58,2L3-1/2X2-1/2X5/16X3/4SLBB,2L3-1/2X2-1/2X5/16X3/4SLBB,0.947,1.87,12.5,1,3.23,F,2L,12.2,1.8,5.39,3.5,11.2,2.5,2.06,0.723,1.87,0.313,0.632,0.256
2.9,2L3-1/2X2-1/2X1/4SLBB,2L3-1/2X2-1/2X1/4SLBB,0.928,1.55,7.15,0.819,2.04,F,2L,9.8,1.46,3.19,3.5,14,2.5,1.8,0.731,1.57,0.25,0.607,0.207
2.9,2L3-1/2X2-1/2X1/4X3/8SLBB,2L3-1/2X2-1/2X1/4X3/8SLBB,0.937,1.55,8.38,0.819,2.27,F,2L,9.8,1.46,3.73,3.5,14,2.5,1.92,0.731,1.7,0.25,0.607,0.207
2.9,2L3-1/2X2-1/2X1/4X3/4SLBB,2L3-1/2X2-1/2X1/4X3/4SLBB,0.944,1.55,9.93,0.819,2.56,F,2L,9.8,1.46,4.28,3.5,14,2.5,2.05,0.731,1.85,0.25,0.607,0.207
5,2L3X2-1/2X1/2SLBB,2L3X2-1/2X1/2SLBB,0.905,2.58,9.11,1.47,3.04,F,2L,17,2.68,4.97,3,6,2.5,1.61,0.718,1.35,0.5,0.746,0.417
5,2L3X2-1/2X1/2X3/8SLBB,2L3X2-1/2X1/2X3/8SLBB,0.918,2.58,11.1,1.47,3.48,F,2L,17,2.68,5.91,3,6,2.5,1.73,0.718,1.49,0.5,0.746,0.417
5,2L3X2-1/2X1/2X3/4SLBB,2L3X2-1/2X1/2X3/4SLBB,0.929,2.58,13.4,1.47,3.97,F,2L,17,2.68,6.85,3,6,2.5,1.86,0.718,1.64,0.5,0.746,0.417
4.44,2L3X2-1/2X7/16X3/8SLBB,2L3X2-1/2X7/16X3/8SLBB,0.914,2.33,9.73,1.31,3.05,F,2L,15.2,2.38,5.15,3,6.85,2.5,1.72,0.724,1.48,0.438,0.724,0.37
4.44,2L3X2-1/2X7/16SLBB,2L3X2-1/2X7/16SLBB,0.901,2.33,7.97,1.31,2.66,F,2L,15.2,2.38,4.32,3,6.85,2.5,1.6,0.724,1.34,0.438,0.724,0.37
3.86,2L3X2-1/2X3/8X3/8SLBB,2L3X2-1/2X3/8X3/8SLBB,0.911,2.06,8.23,1.15,2.58,F,2L,13.2,2.07,4.39,3,8,2.5,1.72,0.731,1.46,0.375,0.701,0.322
3.26,2L3X2-1/2X5/16SLBB,2L3X2-1/2X5/16SLBB,0.893,1.78,5.59,0.974,1.86,F,2L,11.2,1.75,3.02,3,9.58,2.5,1.59,0.739,1.31,0.313,0.677,0.272
3.86,2L3X2-1/2X3/8X3/4SLBB,2L3X2-1/2X3/8X3/4SLBB,0.923,2.06,10,1.15,2.96,F,2L,13.2,2.07,5.11,3,8,2.5,1.85,0.731,1.61,0.375,0.701,0.322
3.26,2L3X2-1/2X5/16X3/4SLBB,2L3X2-1/2X5/16X3/4SLBB,0.92,1.78,8.35,0.974,2.47,F,2L,11.2,1.75,4.24,3,9.58,2.5,1.84,0.739,1.6,0.313,0.677,0.272
2.64,2L3X2-1/2X1/4SLBB,2L3X2-1/2X1/4SLBB,0.89,1.47,4.46,0.794,1.49,F,2L,9,1.41,2.38,3,12,2.5,1.59,0.746,1.3,0.25,0.653,0.22
4.44,2L3X2-1/2X7/16X3/4SLBB,2L3X2-1/2X7/16X3/4SLBB,0.926,2.33,11.8,1.31,3.5,F,2L,15.2,2.38,5.98,3,6.85,2.5,1.85,0.724,1.63,0.438,0.724,0.37
3.26,2L3X2-1/2X5/16X3/8SLBB,2L3X2-1/2X5/16X3/8SLBB,0.907,1.78,6.85,0.974,2.15,F,2L,11.2,1.75,3.63,3,9.58,2.5,1.71,0.739,1.45,0.313,0.677,0.272
2.64,2L3X2-1/2X1/4X3/8SLBB,2L3X2-1/2X1/4X3/8SLBB,0.904,1.47,5.47,0.794,1.72,F,2L,9,1.41,2.87,3,12,2.5,1.7,0.746,1.44,0.25,0.653,0.22
3.86,2L3X2-1/2X3/8SLBB,2L3X2-1/2X3/8SLBB,0.897,2.06,6.73,1.15,2.24,F,2L,13.2,2.07,3.66,3,8,2.5,1.6,0.731,1.32,0.375,0.701,0.322
2,2L3X2-1/2X3/16X3/8SLBB,2L3X2-1/2X3/16X3/8SLBB,0.901,1.14,4.03,0.606,1.26,F,2L,6.78,1.07,2.12,3,16,2.5,1.7,0.753,1.42,0.188,0.627,0.167
2,2L3X2-1/2X3/16X3/4SLBB,2L3X2-1/2X3/16X3/4SLBB,0.914,1.14,4.93,0.606,1.46,F,2L,6.78,1.07,2.5,3,16,2.5,1.82,0.753,1.57,0.188,0.627,0.167
2.64,2L3X2-1/2X1/4X3/4SLBB,2L3X2-1/2X1/4X3/4SLBB,0.917,1.47,6.59,0.794,1.95,F,2L,9,1.41,3.37,3,12,2.5,1.83,0.746,1.58,0.25,0.653,0.22
2,2L3X2-1/2X3/16SLBB,2L3X2-1/2X3/16SLBB,0.887,1.14,3.33,0.606,1.11,F,2L,6.78,1.07,1.75,3,16,2.5,1.58,0.753,1.29,0.188,0.627,0.167
4.52,2L3X2X1/2X3/8SLBB,2L3X2X1/2X3/8SLBB,0.962,1.33,11,0.94,3.45,F,2L,15.4,1.77,5.73,3,6,2,1.69,0.543,1.56,0.5,0.58,0.377
4.52,2L3X2X1/2SLBB,2L3X2X1/2SLBB,0.955,1.33,9.11,0.94,3.04,F,2L,15.4,1.77,4.88,3,6,2,1.55,0.543,1.42,0.5,0.58,0.377
4.52,2L3X2X1/2X3/4SLBB,2L3X2X1/2X3/4SLBB,0.968,1.33,13.4,0.94,3.97,F,2L,15.4,1.77,6.58,3,6,2,1.83,0.543,1.72,0.5,0.58,0.377
3.5,2L3X2X3/8SLBB,2L3X2X3/8SLBB,0.949,1.08,6.76,0.736,2.25,F,2L,11.8,1.36,3.6,3,8,2,1.54,0.555,1.39,0.375,0.535,0.292
3.5,2L3X2X3/8X3/8SLBB,2L3X2X3/8X3/8SLBB,0.957,1.08,8.3,0.736,2.6,F,2L,11.8,1.36,4.26,3,8,2,1.67,0.555,1.54,0.375,0.535,0.292
3.5,2L3X2X3/8X3/4SLBB,2L3X2X3/8X3/4SLBB,0.963,1.08,10,0.736,2.96,F,2L,11.8,1.36,4.92,3,8,2,1.81,0.555,1.69,0.375,0.535,0.292
2.96,2L3X2X5/16SLBB,2L3X2X5/16SLBB,0.946,0.935,5.64,0.628,1.88,F,2L,10,1.14,2.99,3,9.58,2,1.53,0.562,1.38,0.313,0.511,0.247
2.96,2L3X2X5/16X3/8SLBB,2L3X2X5/16X3/8SLBB,0.954,0.935,6.84,0.628,2.15,F,2L,10,1.14,3.54,3,9.58,2,1.66,0.562,1.52,0.313,0.511,0.247
2.96,2L3X2X5/16X3/4SLBB,2L3X2X5/16X3/4SLBB,0.961,0.935,8.26,0.628,2.45,F,2L,10,1.14,4.1,3,9.58,2,1.8,0.562,1.67,0.313,0.511,0.247
2.4,2L3X2X1/4SLBB,2L3X2X1/4SLBB,0.944,0.779,4.5,0.515,1.5,F,2L,8.2,0.926,2.35,3,12,2,1.52,0.569,1.37,0.25,0.487,0.2
2.4,2L3X2X1/4X3/8SLBB,2L3X2X1/4X3/8SLBB,0.952,0.779,5.47,0.515,1.72,F,2L,8.2,0.926,2.8,3,12,2,1.65,0.569,1.51,0.25,0.487,0.2
2.4,2L3X2X1/4X3/4SLBB,2L3X2X1/4X3/4SLBB,0.959,0.779,6.61,0.515,1.96,F,2L,8.2,0.926,3.25,3,12,2,1.79,0.569,1.66,0.25,0.487,0.2
1.83,2L3X2X3/16SLBB,2L3X2X3/16SLBB,0.941,0.61,3.34,0.396,1.11,F,2L,6.14,0.703,1.75,3,16,2,1.52,0.577,1.35,0.188,0.462,0.153
1.83,2L3X2X3/16X3/8SLBB,2L3X2X3/16X3/8SLBB,0.95,0.61,4.06,0.396,1.27,F,2L,6.14,0.703,2.09,3,16,2,1.64,0.577,1.49,0.188,0.462,0.153
1.83,2L3X2X3/16X3/4SLBB,2L3X2X3/16X3/4SLBB,0.957,0.61,4.92,0.396,1.46,F,2L,6.14,0.703,2.43,3,16,2,1.78,0.577,1.64,0.188,0.462,0.153
3.1,2L2-1/2X2X3/8SLBB,2L2-1/2X2X3/8SLBB,0.913,1.03,3.96,0.722,1.58,F,2L,10.6,1.31,2.56,2.5,6.67,2,1.32,0.574,1.13,0.375,0.578,0.31
3.1,2L2-1/2X2X3/8X3/4SLBB,2L2-1/2X2X3/8X3/4SLBB,0.939,1.03,6.25,0.722,2.17,F,2L,10.6,1.31,3.72,2.5,6.67,2,1.59,0.574,1.42,0.375,0.578,0.31
3.1,2L2-1/2X2X3/8X3/8SLBB,2L2-1/2X2X3/8X3/8SLBB,0.927,1.03,5,0.722,1.86,F,2L,10.6,1.31,3.14,2.5,6.67,2,1.45,0.574,1.27,0.375,0.578,0.31
2.64,2L2-1/2X2X5/16X3/8SLBB,2L2-1/2X2X5/16X3/8SLBB,0.923,0.891,4.19,0.617,1.56,F,2L,9,1.11,2.61,2.5,7.99,2,1.44,0.581,1.26,0.313,0.555,0.264
2.64,2L2-1/2X2X5/16SLBB,2L2-1/2X2X5/16SLBB,0.909,0.891,3.31,0.617,1.32,F,2L,9,1.11,2.12,2.5,7.99,2,1.32,0.581,1.12,0.313,0.555,0.264
2.14,2L2-1/2X2X1/4SLBB,2L2-1/2X2X1/4SLBB,0.904,0.744,2.59,0.507,1.04,F,2L,7.24,0.909,1.67,2.5,10,2,1.32,0.589,1.1,0.25,0.532,0.214
2.14,2L2-1/2X2X1/4X3/8SLBB,2L2-1/2X2X1/4X3/8SLBB,0.92,0.744,3.29,0.507,1.22,F,2L,7.24,0.909,2.07,2.5,10,2,1.43,0.589,1.24,0.25,0.532,0.214
2.64,2L2-1/2X2X5/16X3/4SLBB,2L2-1/2X2X5/16X3/4SLBB,0.936,0.891,5.25,0.617,1.83,F,2L,9,1.11,3.11,2.5,7.99,2,1.58,0.581,1.41,0.313,0.555,0.264
2.14,2L2-1/2X2X1/4X3/4SLBB,2L2-1/2X2X1/4X3/4SLBB,0.933,0.744,4.13,0.507,1.44,F,2L,7.24,0.909,2.47,2.5,10,2,1.57,0.589,1.39,0.25,0.532,0.214
1.64,2L2-1/2X2X3/16SLBB,2L2-1/2X2X3/16SLBB,0.901,0.583,1.95,0.391,0.78,F,2L,5.5,0.695,1.23,2.5,13.3,2,1.31,0.597,1.09,0.188,0.508,0.164
1.64,2L2-1/2X2X3/16X3/8SLBB,2L2-1/2X2X3/16X3/8SLBB,0.916,0.583,2.48,0.391,0.923,F,2L,5.5,0.695,1.54,2.5,13.3,2,1.43,0.597,1.23,0.188,0.508,0.164
1.64,2L2-1/2X2X3/16X3/4SLBB,2L2-1/2X2X3/16X3/4SLBB,0.929,0.583,3.12,0.391,1.09,F,2L,5.5,0.695,1.85,2.5,13.3,2,1.56,0.597,1.38,0.188,0.508,0.164
1.89,2L2-1/2X1-1/2X1/4SLBB,2L2-1/2X1-1/2X1/4SLBB,0.962,0.316,2.59,0.28,1.04,F,2L,6.38,1.12,1.64,2.5,10,1.5,1.26,0.409,1.17,0.25,0.372,0.189
