A,AISC_name,Cw,EDI_Std_Nomenclature,Iw,Ix,Iy,Iz,J,PA,PA2,PB,SwA,SwB,SwC,Sx,Sy,Sz,SzA,SzB,SzC,T_F,Type,W,Zx,Zy,b,b_t,d,kdes,kdet,ro,rx,ry,rz,t,tana,wA,wB,wC,x,xp,y,yp,zA,zB,zC
3.99,L4X3X5/8,0.472,L4X3X5/8,7.27,6.01,2.85,1.59,0.529,11,10,14,3.75,9.08,2.82,2.28,1.34,1.13,1.15,1.13,2.12,F,L,13.6,4.08,2.45,4,6.4,3,1,1,1.91,1.23,0.845,0.631,0.625,0.534,1.38,1.41,0.749,0.867,0.499,1.37,0.808,1.94,0.801,2.58
3.25,L4X3X1/2,0.255,L4X3X1/2,6.12,5.02,2.4,1.3,0.281,11,10,14,3.09,7.97,2.33,1.87,1.1,0.929,0.929,0.963,1.67,F,L,11.1,3.36,1.99,4,8,3,0.875,0.88,1.94,1.24,0.858,0.633,0.5,0.542,1.4,1.35,0.777,0.822,0.406,1.32,0.75,1.98,0.768,2.63
2.49,L4X3X3/8,0.114,L4X3X3/8,4.82,3.94,1.89,1,0.123,11,10,14,2.39,6.52,1.8,1.44,0.851,0.699,0.699,0.775,1.25,F,L,8.5,2.6,1.52,4,10.7,3,0.75,0.75,1.97,1.26,0.873,0.636,0.375,0.551,1.43,1.29,0.801,0.775,0.311,1.27,0.68,2.02,0.739,2.68
3.75,L4X4X1/2,0.366,L4X4X1/2,8.79,5.52,5.52,2.25,0.322,12,12,16,3.32,0,3.32,1.96,1.96,1.35,1.68,1.35,1.68,F,L,12.8,3.5,3.5,4,8,4,0.875,0.88,2.16,1.21,1.21,0.776,0.5,1,1.34,1.67,1.34,1.18,0.469,1.18,0.469,2.65,0,2.65
2.09,L4X3X5/16,0.0676,L4X3X5/16,4.13,3.36,1.62,0.849,0.0731,11,10,14,2.01,5.66,1.54,1.22,0.721,0.59,0.59,0.674,1.04,F,L,7.2,2.19,1.28,4,12.8,3,0.688,0.69,1.98,1.27,0.88,0.638,0.313,0.554,1.44,1.26,0.814,0.75,0.261,1.25,0.656,2.05,0.73,2.69
1.69,L4X3X1/4,0.0356,L4X3X1/4,3.39,2.75,1.33,0.692,0.0386,11,10,14,1.65,4.75,1.25,0.988,0.585,0.474,0.474,0.563,0.836,F,L,5.8,1.77,1.03,4,16,3,0.625,0.63,1.99,1.27,0.887,0.639,0.25,0.558,1.46,1.23,0.828,0.725,0.211,1.22,0.62,2.06,0.713,2.72
3.25,L3-1/2X3-1/2X1/2,0.238,L3-1/2X3-1/2X1/2,5.75,3.63,3.63,1.51,0.281,10.5,10.5,14,2.5,0,2.5,1.48,1.48,1.02,1.29,1.02,1.29,F,L,11.1,2.66,2.66,3.5,7,3.5,0.875,0.88,1.87,1.05,1.05,0.679,0.5,1,1.17,1.48,1.17,1.05,0.464,1.05,0.464,2.3,0,2.3
2.89,L3-1/2X3-1/2X7/16,0.164,L3-1/2X3-1/2X7/16,5.16,3.25,3.25,1.33,0.192,10.5,10.5,14,2.22,0,2.22,1.32,1.32,0.911,1.14,0.911,1.14,F,L,9.8,2.36,2.36,3.5,7.99,3.5,0.813,0.81,1.89,1.06,1.06,0.681,0.438,1,1.17,1.46,1.17,1.03,0.413,1.03,0.413,2.32,0,2.32
2.5,L3-1/2X3-1/2X3/8,0.106,L3-1/2X3-1/2X3/8,4.55,2.86,2.86,1.17,0.123,10.5,10.5,14,1.94,0,1.94,1.15,1.15,0.83,0.983,0.83,0.983,F,L,8.5,2.06,2.06,3.5,9.33,3.5,0.75,0.75,1.9,1.07,1.07,0.683,0.375,1,1.19,1.41,1.19,1,0.357,1,0.357,2.34,0,2.34
2.1,L3-1/2X3-1/2X5/16,0.0634,L3-1/2X3-1/2X5/16,3.89,2.44,2.44,0.984,0.0731,10.5,10.5,14,1.65,0,1.65,0.969,0.969,0.713,0.82,0.713,0.82,F,L,7.2,1.74,1.74,3.5,11.2,3.5,0.688,0.69,1.92,1.08,1.08,0.685,0.313,1,1.2,1.38,1.2,0.979,0.3,0.979,0.3,2.36,0,2.36
1.7,L3-1/2X3-1/2X1/4,0.0334,L3-1/2X3-1/2X1/4,3.19,2,2,0.802,0.0386,10.5,10.5,14,1.33,0,1.33,0.787,0.787,0.594,0.663,0.594,0.663,F,L,5.8,1.41,1.41,3.5,14,3.5,0.625,0.63,1.93,1.09,1.09,0.688,0.25,1,1.21,1.35,1.21,0.954,0.243,0.954,0.243,2.39,0,2.39
