A,AISC_name,Bout,C,EDI_Std_Nomenclature,Ht,Ix,Iy,J,Sx,Sy,T_F,Type,W,Zx,Zy,bin,b_tdes,h,h_tdes,rx,ry,tdes,tnom
1.89,HSS3X3X3/16,3,2.76,HSS3X3X.188,3,2.46,2.46,4.03,1.64,1.64,F,HSS,6.87,1.97,1.97,2.48,14.2,2.48,14.2,1.14,1.14,0.174,0.1875
1.3,HSS3X3X1/8,3,1.92,HSS3X3X.125,3,1.78,1.78,2.84,1.19,1.19,F,HSS,4.75,1.4,1.4,2.65,22.9,2.65,22.9,1.17,1.17,0.116,0.125
2.64,HSS3X2-1/2X5/16,2.5,3.39,HSS3X2-1/2X.313,3,2.92,2.18,4.34,1.94,1.74,F,HSS,9.51,2.51,2.2,1.63,5.59,2.13,7.31,1.05,0.908,0.291,0.3125
2.21,HSS3X2-1/2X1/4,2.5,2.87,HSS3X2-1/2X.250,3,2.57,1.93,3.74,1.72,1.54,F,HSS,7.96,2.16,1.9,1.8,7.73,2.3,9.88,1.08,0.935,0.233,0.25
1.71,HSS3X2-1/2X3/16,2.5,2.27,HSS3X2-1/2X.188,3,2.11,1.59,3,1.41,1.27,F,HSS,6.23,1.73,1.52,1.98,11.4,2.48,14.2,1.11,0.963,0.174,0.1875
1.19,HSS3X2-1/2X1/8,2.5,1.59,HSS3X2-1/2X.125,3,1.54,1.16,2.13,1.03,0.931,F,HSS,4.33,1.23,1.09,2.15,18.6,2.65,22.9,1.14,0.99,0.116,0.125
2.35,HSS3X2X5/16,2,2.6,HSS3X2X.313,3,2.38,1.24,2.87,1.59,1.24,F,HSS,8.45,2.11,1.58,1.13,3.87,2.13,7.31,1.01,0.725,0.291,0.3125
1.97,HSS3X2X1/4,2,2.23,HSS3X2X.250,3,2.13,1.11,2.52,1.42,1.11,F,HSS,7.11,1.83,1.38,1.3,5.58,2.3,9.88,1.04,0.751,0.233,0.25
1.54,HSS3X2X3/16,2,1.78,HSS3X2X.188,3,1.77,0.932,2.05,1.18,0.932,F,HSS,5.59,1.48,1.12,1.48,8.49,2.48,14.2,1.07,0.778,0.174,0.1875
1.07,HSS3X2X1/8,2,1.25,HSS3X2X.125,3,1.3,0.692,1.47,0.867,0.692,F,HSS,3.9,1.06,0.803,1.65,14.2,2.65,22.9,1.1,0.804,0.116,0.125
1.74,HSS3X1-1/2X1/4,1.5,1.58,HSS3X1-1/2X.250,3,1.68,0.543,1.44,1.12,0.725,F,HSS,6.26,1.51,0.911,0.801,3.44,2.3,9.88,0.982,0.559,0.233,0.25
1.37,HSS3X1-1/2X3/16,1.5,1.28,HSS3X1-1/2X.188,3,1.42,0.467,1.21,0.945,0.622,F,HSS,4.96,1.24,0.752,0.978,5.62,2.48,14.2,1.02,0.584,0.174,0.1875
0.956,HSS3X1-1/2X1/8,1.5,0.92,HSS3X1-1/2X.125,3,1.06,0.355,0.886,0.706,0.474,F,HSS,3.48,0.895,0.55,1.15,9.93,2.65,22.9,1.05,0.61,0.116,0.125
0.84,HSS3X1X1/8,1,0.585,HSS3X1X.125,3,0.817,0.138,0.408,0.545,0.276,F,HSS,3.05,0.728,0.325,0.652,5.62,2.65,22.9,0.987,0.405,0.116,0.125
1.19,HSS3X1X3/16,1,0.792,HSS3X1X.188,3,1.07,0.173,0.526,0.713,0.345,F,HSS,4.32,0.989,0.432,0.478,2.75,2.48,14.2,0.947,0.38,0.174,0.1875
1.97,HSS2-1/2X2-1/2X1/4,2.5,2.35,HSS2-1/2X2-1/2X.250,2.5,1.63,1.63,2.79,1.3,1.3,F,HSS,7.11,1.63,1.63,1.8,7.73,1.8,7.73,0.908,0.908,0.233,0.25
